fast_periods,slow_periods,lookback,total_return,final_equity,num_signals,signal_accuracy
"(3, 5, 8, 10, 12)","(30, 35, 40, 50, 60)",1,0.0,1.0,0,
"(3, 5, 8, 10, 12)","(30, 35, 40, 50, 60)",3,0.0,1.0,0,
"(3, 5, 8, 10, 12)","(30, 35, 40, 50, 60)",5,0.0,1.0,0,
"(3, 5, 8, 10, 12)","(20, 30, 40, 50, 60)",1,0.0,1.0,0,
"(3, 5, 8, 10, 12)","(20, 30, 40, 50, 60)",3,0.0,1.0,0,
"(3, 5, 8, 10, 12)","(20, 30, 40, 50, 60)",5,0.0,1.0,0,
"(2, 3, 4, 6, 8)","(30, 35, 40, 50, 60)",1,0.0,1.0,0,
"(2, 3, 4, 6, 8)","(30, 35, 40, 50, 60)",3,0.0,1.0,0,
"(2, 3, 4, 6, 8)","(30, 35, 40, 50, 60)",5,0.0,1.0,0,
"(2, 3, 4, 6, 8)","(20, 30, 40, 50, 60)",1,0.0,1.0,0,
"(2, 3, 4, 6, 8)","(20, 30, 40, 50, 60)",3,0.0,1.0,0,
"(2, 3, 4, 6, 8)","(20, 30, 40, 50, 60)",5,0.0,1.0,0,
